,0,1
0,982,1011
1,985,1007
2,988,1003
3,991,999
4,994,995
5,997,991
6,1000,987
7,1003,983
8,1006,979
9,1009,975
10,1012,971
11,1015,967
12,1018,963
13,1021,959
14,1024,955
15,1027,951
16,1030,947
17,1033,943
18,1036,939
19,1039,935
20,1042,931
21,1045,927
22,1048,923
23,1051,919
24,1054,915
25,1057,911
26,1060,907
27,1063,903
28,1066,899
29,1069,895
30,1072,891
31,1075,887
32,1078,883
33,1081,879
34,1084,875
35,1087,871
36,1090,867
37,1093,863
38,1096,859
39,1099,855
40,1102,851
41,1105,847
42,1108,843
43,1111,839
44,1114,835
45,1117,831
46,1120,827
47,1123,823
48,1126,819
49,1129,815
50,1132,811
51,1135,807
52,1138,803
53,1141,799
54,1144,795
55,1147,791
56,1150,787
57,1153,783
58,1156,779
59,1159,775
60,1162,771
61,1165,767
62,1168,763
63,1171,759
64,1174,755
65,1177,751
66,1180,747
67,1183,743
68,1186,739
69,1189,735
70,1192,731
71,1195,727
72,1198,723
73,1201,719
74,1204,715
75,1207,711
76,1210,707
77,1213,703
78,1216,699
79,1219,695
80,1222,691
81,1225,687
82,1228,683
83,1231,679
84,1234,675
85,1237,671
86,1240,667
87,1243,663
88,1246,659
89,1249,655
90,1252,651
91,1255,647
92,1258,643
93,1261,639
94,1264,635
95,1267,631
96,1270,627
97,1273,623
98,1276,619
99,1279,615
100,1282,611
101,1285,607
102,1288,603
103,1291,599
104,1294,595
105,1297,591
106,1300,587
107,1303,583
108,1306,579
109,1309,575
110,1312,571
111,1315,567
112,1318,563
113,1321,559
114,1324,555
115,1327,551
116,1330,547
117,1333,543
118,1336,539
119,1339,535
120,1342,531
121,1345,527
122,1348,523
123,1351,519
124,1354,515
125,1357,511
126,1360,507
127,1363,503
128,1366,499
129,1369,495
130,1372,491
131,1375,487
132,1378,483
133,1381,479
134,1384,475
135,1387,471
136,1390,467
137,1393,463
138,1396,459
139,1399,455
140,1402,451
141,1405,447
142,1408,443
143,1411,439
144,1414,435
145,1417,431
146,1420,427
147,1423,423
148,1426,419
149,1429,415
150,1432,411
151,1435,407
152,1438,403
153,1441,399
154,1444,395
155,1447,391
156,1450,387
157,1453,383
158,1456,379
159,1459,375
160,1462,371
161,1465,367
162,1468,363
163,1471,359
164,1474,355
165,1477,351
166,1480,347
167,1483,343
168,1486,339
169,1489,335
170,1492,331
171,1495,327
172,1498,323
173,1501,319
174,1504,315
175,1507,311
176,1510,307
177,1513,303
178,1516,299
179,1519,295
180,1522,291
181,1525,287
182,1528,283
183,1531,279
184,1534,275
185,1537,271
186,1540,267
187,1543,263
188,1546,259
189,1549,255
190,1552,251
191,1555,247
192,1558,243
193,1561,239
194,1564,235
195,1567,231
196,1570,227
