,0,1
0,988,1011
1,991,1007
2,994,1003
3,997,999
4,1000,995
5,1003,991
6,1006,987
7,1009,983
8,1012,979
9,1015,975
10,1018,971
11,1021,967
12,1024,963
13,1027,959
14,1030,955
15,1033,951
16,1036,947
17,1039,943
18,1042,939
19,1045,935
20,1048,931
21,1051,927
22,1054,923
23,1057,919
24,1060,915
25,1063,911
26,1066,907
27,1069,903
28,1072,899
29,1075,895
30,1078,891
31,1081,887
32,1084,883
33,1087,879
34,1090,875
35,1093,871
36,1096,867
37,1099,863
38,1102,859
39,1105,855
40,1108,851
41,1111,847
42,1114,843
43,1117,839
44,1120,835
45,1123,831
46,1126,827
47,1129,823
48,1132,819
49,1135,815
50,1138,811
51,1141,807
52,1144,803
53,1147,799
54,1150,795
55,1153,791
56,1156,787
57,1159,783
58,1162,779
59,1165,775
60,1168,771
61,1171,767
62,1174,763
63,1177,759
64,1180,755
65,1183,751
66,1186,747
67,1189,743
68,1192,739
69,1195,735
70,1198,731
71,1201,727
72,1204,723
73,1207,719
74,1210,715
75,1213,711
76,1216,707
77,1219,703
78,1222,699
79,1225,695
80,1228,691
81,1231,687
82,1234,683
83,1237,679
84,1240,675
85,1243,671
86,1246,667
87,1249,663
88,1252,659
89,1255,655
90,1258,651
91,1261,647
92,1264,643
93,1267,639
94,1270,635
95,1273,631
96,1276,627
97,1279,623
98,1282,619
99,1285,615
100,1288,611
101,1291,607
102,1294,603
103,1297,599
104,1300,595
105,1303,591
106,1306,587
107,1309,583
108,1312,579
109,1315,575
110,1318,571
111,1321,567
112,1324,563
113,1327,559
114,1330,555
115,1333,551
116,1336,547
117,1339,543
118,1342,539
119,1345,535
120,1348,531
121,1351,527
122,1354,523
123,1357,519
124,1360,515
125,1363,511
126,1366,507
127,1369,503
128,1372,499
129,1375,495
130,1378,491
131,1381,487
132,1384,483
133,1387,479
134,1390,475
135,1393,471
136,1396,467
137,1399,463
138,1402,459
139,1405,455
140,1408,451
141,1411,447
142,1414,443
143,1417,439
144,1420,435
145,1423,431
146,1426,427
147,1429,423
148,1432,419
149,1435,415
150,1438,411
151,1441,407
152,1444,403
153,1447,399
154,1450,395
155,1453,391
156,1456,387
157,1459,383
158,1462,379
159,1465,375
160,1468,371
161,1471,367
162,1474,363
163,1477,359
164,1480,355
165,1483,351
166,1486,347
167,1489,343
168,1492,339
169,1495,335
170,1498,331
171,1501,327
172,1504,323
173,1507,319
174,1510,315
175,1513,311
176,1516,307
177,1519,303
178,1522,299
179,1525,295
180,1528,291
181,1531,287
182,1534,283
183,1537,279
184,1540,275
185,1543,271
186,1546,267
187,1549,263
188,1552,259
189,1555,255
190,1558,251
191,1561,247
192,1564,243
193,1567,239
194,1570,235
195,1573,231
196,1576,227
197,1579,223
198,1582,219
199,1585,215
200,1588,211
201,1591,207
202,1594,203
203,1597,199
204,1600,195
205,1603,191
206,1606,187
207,1609,183
208,1612,179
209,1615,175
210,1618,171
211,1621,167
212,1624,163
213,1627,159
214,1630,155
215,1633,151
216,1636,147
217,1639,143
218,1642,139
219,1645,135
220,1648,131
221,1651,127
222,1654,123
223,1657,119
224,1660,115
225,1663,111
226,1666,107
227,1669,103
228,1672,99
229,1675,95
230,1678,91
231,1681,87
232,1684,83
233,1687,79
234,1690,75
235,1693,71
236,1696,67
237,1699,63
238,1702,59
239,1705,55
240,1708,51
241,1711,47
242,1714,43
243,1717,39
244,1720,35
245,1723,31
246,1726,27
247,1729,23
248,1732,19
249,1735,15
250,1738,11
251,1741,10
252,1744,14
253,1747,18
254,1750,22
255,1753,26
256,1756,30
257,1759,34
258,1762,38
259,1765,42
260,1768,46
261,1771,50
262,1774,54
263,1777,58
264,1780,62
265,1783,66
266,1786,70
267,1789,74
268,1792,78
269,1795,82
270,1798,86
271,1801,90
272,1804,94
273,1807,98
274,1810,102
275,1813,106
276,1816,110
277,1819,114
278,1822,118
279,1825,122
280,1828,126
281,1831,130
282,1834,134
283,1837,138
284,1840,142
285,1843,146
286,1846,150
287,1849,154
288,1852,158
289,1855,162
290,1858,166
291,1861,170
292,1864,174
293,1867,178
294,1870,182
295,1873,186
296,1876,190
297,1879,194
298,1882,198
299,1885,202
300,1888,206
301,1891,210
302,1894,214
303,1897,218
304,1900,222
305,1903,226
306,1906,230
307,1909,234
308,1910,238
309,1907,242
310,1904,246
311,1901,250
312,1898,254
313,1895,258
314,1892,262
315,1889,266
316,1886,270
317,1883,274
318,1880,278
319,1877,282
320,1874,286
321,1871,290
322,1868,294
323,1865,298
324,1862,302
325,1859,306
326,1856,310
327,1853,314
328,1850,318
329,1847,322
330,1844,326
331,1841,330
332,1838,334
333,1835,338
334,1832,342
335,1829,346
336,1826,350
337,1823,354
338,1820,358
339,1817,362
340,1814,366
341,1811,370
342,1808,374
343,1805,378
344,1802,382
345,1799,386
346,1796,390
347,1793,394
348,1790,398
349,1787,402
350,1784,406
351,1781,410
352,1778,414
353,1775,418
354,1772,422
355,1769,426
356,1766,430
357,1763,434
358,1760,438
359,1757,442
360,1754,446
361,1751,450
362,1748,454
363,1745,458
364,1742,462
365,1739,466
366,1736,470
367,1733,474
368,1730,478
369,1727,482
370,1724,486
371,1721,490
372,1718,494
373,1715,498
374,1712,502
375,1709,506
376,1706,510
377,1703,514
378,1700,518
379,1697,522
380,1694,526
381,1691,530
382,1688,534
383,1685,538
384,1682,542
385,1679,546
386,1676,550
387,1673,554
388,1670,558
389,1667,562
390,1664,566
391,1661,570
392,1658,574
393,1655,578
394,1652,582
395,1649,586
396,1646,590
397,1643,594
398,1640,598
399,1637,602
400,1634,606
401,1631,610
402,1628,614
403,1625,618
404,1622,622
405,1619,626
406,1616,630
407,1613,634
408,1610,638
409,1607,642
410,1604,646
411,1601,650
412,1598,654
413,1595,658
414,1592,662
415,1589,666
416,1586,670
417,1583,674
418,1580,678
419,1577,682
420,1574,686
421,1571,690
422,1568,694
423,1565,698
424,1562,702
425,1559,706
426,1556,710
427,1553,714
428,1550,718
429,1547,722
430,1544,726
431,1541,730
432,1538,734
433,1535,738
434,1532,742
435,1529,746
436,1526,750
437,1523,754
438,1520,758
439,1517,762
440,1514,766
441,1511,770
442,1508,774
443,1505,778
444,1502,782
445,1499,786
446,1496,790
447,1493,794
448,1490,798
449,1487,802
450,1484,806
451,1481,810
452,1478,814
453,1475,818
454,1472,822
455,1469,826
456,1466,830
457,1463,834
458,1460,838
459,1457,842
460,1454,846
461,1451,850
462,1448,854
463,1445,858
464,1442,862
465,1439,866
466,1436,870
467,1433,874
468,1430,878
469,1427,882
470,1424,886
471,1421,890
472,1418,894
473,1415,898
474,1412,902
475,1409,906
476,1406,910
477,1403,914
478,1400,918
479,1397,922
480,1394,926
481,1391,930
482,1388,934
483,1385,938
484,1382,942
485,1379,946
486,1376,950
487,1373,954
488,1370,958
489,1367,962
490,1364,966
491,1361,970
492,1358,974
493,1355,978
494,1352,982
495,1349,986
496,1346,990
497,1343,994
498,1340,998
499,1337,1002
500,1334,1006
501,1331,1010
502,1328,1014
503,1325,1015
504,1325,1011
505,1325,1007
506,1325,1003
507,1325,999
508,1325,995
509,1325,991
510,1325,987
511,1325,983
512,1325,979
513,1325,975
514,1325,971
515,1325,967
516,1325,963
517,1325,959
518,1325,955
519,1325,951
520,1325,947
521,1325,943
522,1325,939
523,1325,935
524,1325,931
525,1325,927
526,1325,923
527,1325,919
528,1325,915
529,1325,911
530,1325,907
531,1325,903
532,1325,899
533,1325,895
534,1325,891
535,1325,887
536,1325,883
537,1325,879
538,1325,875
539,1325,871
540,1325,867
541,1325,863
542,1325,859
543,1325,855
544,1325,851
545,1325,847
546,1325,843
547,1325,839
548,1325,835
