,0
0,1666752120.2268348
1,1666752120.2401385
2,1666752120.2548797
3,1666752120.266588
4,1666752120.2794006
5,1666752120.292771
6,1666752120.3052523
7,1666752120.318082
8,1666752120.331073
9,1666752120.34448
10,1666752120.3570857
11,1666752120.3719475
12,1666752120.3821514
13,1666752120.395012
14,1666752120.406701
15,1666752120.4185429
16,1666752120.431543
17,1666752120.4460502
18,1666752120.4618707
19,1666752120.4738717
20,1666752120.4884846
21,1666752120.502818
22,1666752120.5150323
23,1666752120.5280344
24,1666752120.542204
25,1666752120.555226
26,1666752120.5659058
27,1666752120.578954
28,1666752120.5930316
29,1666752120.6054494
30,1666752120.6153986
31,1666752120.6316278
32,1666752120.6469288
33,1666752120.6583943
34,1666752120.6706765
35,1666752120.683283
36,1666752120.6973894
37,1666752120.710399
38,1666752120.7236412
39,1666752120.736498
40,1666752120.7485807
41,1666752120.7618294
42,1666752120.7734935
43,1666752120.7862377
44,1666752120.798366
45,1666752120.812351
46,1666752120.82354
47,1666752120.837093
48,1666752120.8481002
49,1666752120.8632367
50,1666752120.8770204
51,1666752120.8880029
52,1666752120.909093
53,1666752120.932095
54,1666752120.9452734
55,1666752120.9580119
56,1666752120.9774625
57,1666752120.9945266
58,1666752121.0086572
59,1666752121.0237813
60,1666752121.0355709
61,1666752121.0478003
62,1666752121.0641558
63,1666752121.0787401
64,1666752121.0938818
65,1666752121.1043715
66,1666752121.1189368
67,1666752121.130845
68,1666752121.1450481
69,1666752121.1601856
70,1666752121.1700087
71,1666752121.1828177
72,1666752121.1958876
73,1666752121.2096126
74,1666752121.2191813
75,1666752121.2324736
76,1666752121.2477243
77,1666752121.2606778
78,1666752121.27463
79,1666752121.288563
80,1666752121.2999308
81,1666752121.3139188
82,1666752121.326078
83,1666752121.3376825
84,1666752121.3507736
85,1666752121.3627687
86,1666752121.374852
87,1666752121.390806
88,1666752121.4029028
89,1666752121.41502
90,1666752121.4260027
91,1666752121.4390152
92,1666752121.4515927
93,1666752121.464661
94,1666752121.4766638
95,1666752121.4878678
96,1666752121.5029001
97,1666752121.5139832
98,1666752121.5273373
99,1666752121.539384
100,1666752121.5513158
101,1666752121.5639973
102,1666752121.5769813
103,1666752121.5891762
104,1666752121.6011915
105,1666752121.6129932
106,1666752121.6291444
107,1666752121.644018
108,1666752121.6551125
109,1666752121.6691134
110,1666752121.6811736
111,1666752121.6939864
112,1666752121.7059374
113,1666752121.7190442
114,1666752121.731576
115,1666752121.7442887
116,1666752121.7591136
117,1666752121.768259
118,1666752121.781541
119,1666752121.793209
120,1666752121.8061924
121,1666752121.8201747
122,1666752121.859736
123,1666752121.8727148
124,1666752121.8857174
125,1666752121.9001598
126,1666752121.9181447
127,1666752121.9320009
128,1666752121.945135
129,1666752121.9579618
130,1666752121.9690466
131,1666752121.9828718
132,1666752121.9977825
133,1666752122.0108905
134,1666752122.024096
135,1666752122.0361822
136,1666752122.049738
137,1666752122.0629208
138,1666752122.07594
139,1666752122.0871434
140,1666752122.0989764
141,1666752122.1131432
142,1666752122.1262517
143,1666752122.1364481
144,1666752122.148927
145,1666752122.161991
146,1666752122.174845
147,1666752122.1868277
148,1666752122.197851
149,1666752122.211801
150,1666752122.2278428
151,1666752122.2359798
152,1666752122.2484498
153,1666752122.2629418
154,1666752122.27745
155,1666752122.290084
156,1666752122.3017771
157,1666752122.3138053
158,1666752122.3267934
159,1666752122.3403125
160,1666752122.3502102
161,1666752122.3657746
162,1666752122.3788462
163,1666752122.3927944
164,1666752122.4048
165,1666752122.4169886
166,1666752122.429998
167,1666752122.4412084
168,1666752122.4543848
169,1666752122.4671974
170,1666752122.4796944
171,1666752122.4908376
172,1666752122.5048366
173,1666752122.5168216
174,1666752122.5299113
175,1666752122.5438244
176,1666752122.5548549
177,1666752122.5669851
178,1666752122.581531
179,1666752122.594169
180,1666752122.6060822
181,1666752122.6201894
182,1666752122.6329896
183,1666752122.6483665
184,1666752122.6590426
185,1666752122.6731887
186,1666752122.6838346
187,1666752122.6977508
188,1666752122.7090948
189,1666752122.7218056
190,1666752122.735582
191,1666752122.746852
192,1666752122.7580087
193,1666752122.7681625
194,1666752122.7808208
195,1666752122.7928004
196,1666752122.8050125
197,1666752122.817405
198,1666752122.8576002
199,1666752122.8696015
200,1666752122.8836048
201,1666752122.9133666
202,1666752122.9256723
203,1666752122.936789
204,1666752122.9509408
205,1666752122.9672558
206,1666752122.9817867
207,1666752122.9951954
208,1666752123.00817
209,1666752123.0197432
210,1666752123.0327203
211,1666752123.0467012
212,1666752123.0605571
213,1666752123.0737092
214,1666752123.0837286
215,1666752123.0977252
216,1666752123.1127007
217,1666752123.1257875
218,1666752123.1350167
219,1666752123.1473298
220,1666752123.161404
221,1666752123.1715882
222,1666752123.1840487
223,1666752123.1980405
224,1666752123.2101505
225,1666752123.2241225
226,1666752123.2341554
227,1666752123.2491596
228,1666752123.260287
229,1666752123.2757654
230,1666752123.2864475
231,1666752123.2999015
232,1666752123.3138518
233,1666752123.3260028
234,1666752123.3374434
235,1666752123.3507268
236,1666752123.3637037
237,1666752123.3778558
238,1666752123.391867
239,1666752123.4027617
240,1666752123.414793
241,1666752123.4261582
242,1666752123.441131
243,1666752123.4521105
244,1666752123.464743
245,1666752123.4757535
246,1666752123.4903138
247,1666752123.5023055
248,1666752123.5138142
249,1666752123.5260422
250,1666752123.5389504
251,1666752123.5529265
252,1666752123.5668755
253,1666752123.581773
254,1666752123.5934649
255,1666752123.6068869
256,1666752123.6172154
257,1666752123.6319175
258,1666752123.6441374
259,1666752123.6558714
260,1666752123.6688697
261,1666752123.6829345
262,1666752123.6939213
263,1666752123.705125
264,1666752123.7190855
265,1666752123.731923
266,1666752123.7429497
267,1666752123.7560031
268,1666752123.7700636
269,1666752123.7819948
270,1666752123.7940714
271,1666752123.8440554
272,1666752123.8680425
273,1666752123.879045
274,1666752123.8911796
275,1666752123.906168
276,1666752123.9210744
277,1666752123.9340823
278,1666752123.9492838
279,1666752123.964171
280,1666752123.9772556
281,1666752123.9878662
282,1666752124.0007834
283,1666752124.014763
284,1666752124.0292294
285,1666752124.0429225
286,1666752124.0529873
287,1666752124.0659323
288,1666752124.0801642
289,1666752124.0937743
290,1666752124.1079748
291,1666752124.1200476
292,1666752124.1330638
293,1666752124.1451175
294,1666752124.160924
295,1666752124.1760828
296,1666752124.1881263
297,1666752124.202859
298,1666752124.2159262
299,1666752124.228809
300,1666752124.2420707
301,1666752124.253926
302,1666752124.2663295
303,1666752124.278262
304,1666752124.294435
305,1666752124.304807
306,1666752124.317761
307,1666752124.3297606
308,1666752124.3439062
309,1666752124.354909
310,1666752124.368715
311,1666752124.3838823
312,1666752124.3979468
313,1666752124.4102027
314,1666752124.4213874
315,1666752124.4345367
316,1666752124.4491632
317,1666752124.4619088
318,1666752124.4740074
319,1666752124.4862313
320,1666752124.4997404
321,1666752124.5127735
322,1666752124.529344
323,1666752124.5414534
324,1666752124.5539007
325,1666752124.5695417
326,1666752124.5828876
327,1666752124.5959442
328,1666752124.606389
329,1666752124.6212234
330,1666752124.6341255
331,1666752124.6469133
332,1666752124.6591427
333,1666752124.6711
334,1666752124.6849372
335,1666752124.6969006
336,1666752124.710878
337,1666752124.722025
338,1666752124.7349677
339,1666752124.7460244
340,1666752124.7591722
341,1666752124.7927167
342,1666752124.8091567
343,1666752124.8401062
344,1666752124.8518376
345,1666752124.8631399
346,1666752124.8748782
347,1666752124.8881285
348,1666752124.9050689
349,1666752124.9191935
350,1666752124.932912
351,1666752124.9438205
352,1666752124.9554343
353,1666752124.9693544
354,1666752124.9840698
355,1666752124.9974003
356,1666752125.009056
357,1666752125.020056
358,1666752125.0341496
359,1666752125.0482974
360,1666752125.061435
361,1666752125.0704343
362,1666752125.0844579
363,1666752125.0972607
364,1666752125.111064
365,1666752125.1240933
366,1666752125.1349354
367,1666752125.148784
368,1666752125.1610436
369,1666752125.1727912
370,1666752125.184887
371,1666752125.198524
372,1666752125.2117789
373,1666752125.2232952
374,1666752125.2350874
375,1666752125.249868
376,1666752125.2647114
377,1666752125.2791145
378,1666752125.290987
379,1666752125.3019822
380,1666752125.3158262
381,1666752125.3287148
382,1666752125.3446324
383,1666752125.3552184
384,1666752125.3687997
385,1666752125.3830092
386,1666752125.3949113
387,1666752125.4080493
388,1666752125.4183497
389,1666752125.4324064
390,1666752125.4451096
391,1666752125.4598334
392,1666752125.4718225
393,1666752125.4858215
394,1666752125.498889
395,1666752125.5118487
396,1666752125.527136
397,1666752125.5381358
398,1666752125.5515683
399,1666752125.5635967
400,1666752125.5779736
401,1666752125.5910497
402,1666752125.6010456
403,1666752125.6140246
404,1666752125.6302514
405,1666752125.643254
406,1666752125.656477
407,1666752125.6690972
408,1666752125.6809075
409,1666752125.692935
410,1666752125.7078693
411,1666752125.724146
412,1666752125.739103
413,1666752125.7567184
414,1666752125.786683
415,1666752125.806321
416,1666752125.8199193
417,1666752125.8329306
418,1666752125.8487773
419,1666752125.8652987
420,1666752125.8805203
421,1666752125.896342
422,1666752125.910176
423,1666752125.920319
424,1666752125.9333086
425,1666752125.9491897
426,1666752125.9621947
427,1666752125.9761782
428,1666752125.988101
429,1666752126.0021574
430,1666752126.0136921
431,1666752126.028234
432,1666752126.0400271
433,1666752126.0519233
434,1666752126.0660584
435,1666752126.0814946
436,1666752126.0953119
437,1666752126.1051624
438,1666752126.117228
439,1666752126.1316817
440,1666752126.1458132
441,1666752126.157752
442,1666752126.1697764
443,1666752126.1839557
444,1666752126.1964512
445,1666752126.2110343
446,1666752126.224974
447,1666752126.2369893
448,1666752126.2510037
449,1666752126.2643156
450,1666752126.2779486
451,1666752126.2920933
452,1666752126.305012
453,1666752126.3190236
454,1666752126.3332763
455,1666752126.346929
456,1666752126.3599417
457,1666752126.3729472
458,1666752126.3849754
459,1666752126.3975933
460,1666752126.4126697
461,1666752126.4242802
462,1666752126.4369068
463,1666752126.4500306
464,1666752126.4619782
465,1666752126.4729588
466,1666752126.4856722
467,1666752126.501357
468,1666752126.5129519
469,1666752126.5269156
470,1666752126.5630305
471,1666752126.6017642
